HR Charging Guidelines,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Concur, Timesheets, Maximo, Basware, IFS",,,,,,,,,,,
Description,,Company ID,Location,Project,Activity,Department,Expense Type, Account, Account Name, Project, Account Group ,Cost Type,Additional Guidance
Labor ,,"(75736) Deriva Energy Services, LLC",DSOL ,DSOL25G001,DSOL25G001.100.10,8060,,512101,Salaries and Wages - Regular Hours - Salaried,,Salary & Wages,,
Relocation Expenses,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,Hiring Costs (Other),512334,Hiring Costs / Moving Expenses / Relocation Costs - Salaried,,Benefits,General Cost,
Tuition Reimbursement,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,Tuition Reimbursement,512337,Tuition Reimbursement - Salaried,,Benefits,General Cost,
LinkedIn and Other Recruiting Fees,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,Recruiting Fees/Costs,515501,Recruiting Fees/Costs,,Staff Recruitment,General Cost,
Talent Headhunter Fees,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,Direct Hire - 3rd Party Recruiting Agency fees,515200,Consultant Other,,Consultant Fees,General Cost,
Team Building,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,Outside Services Other,515100,Outside Services Other,,Outside Services,General Cost,
Benefits Broker,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,,515200,Consultant Other,,Consultant Fees,General Cost,
Service Rewards Program (Snappy) ,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,,515200,Consultant Other,,Consultant Fees,,
Background Testing,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,Pre-employment Screening,515200,Consultant Other,,Consultant Fees,General Cost,
Job Posting Service (Circa Mitratech),,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,,515200,Consultant Other,,Consultant Fees,,
Equifax,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,,515200,Consultant Other,,Consultant Fees,,
Payroll Management Services,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,,515200,Consultant Other,,Consultant Fees,,
Contractors,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,,515220,Consultant- Staff Augmentation,,Consultant fees,,
Personal Mobile Device (PMD),,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,Cellular Service (PMD),513105,Telcom - Cellular Service,,Communications (IT & Telecoms),General Cost,
Travel,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,Other Transportation,517100,Transportation - Other,,Travel,General Cost,
Employee Training,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,Employee Training,517501,Employee Training,,Employee Related Expenses,,
Employee and Supervisor Training,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,,515200,Consultant Other,,Consultant Fees,,
Executive and High Potential Coaching/Development,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,,515200,Consultant Other,,Consultant Fees,,
Interns (housing/rent),,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,,515100,Outside Services Other,,Outside Services,,
Interns (labor),,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,,515220,Consultant- Staff Augmentation,,Consultant fees,,
Talent Sourcing (career events/swag),,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,Publicity Advertising and Promotion Costs,513800,Publicity Advertising and Promotion Costs,,Marketing & Publicity,,
Candidate Travel for Recruiting,,"(75736) Deriva Energy Services, LLC",DSOL ,,,8060,Other Transportation,517100,Transportation - Other,,Travel,,
Employee Benefits Cost (Vanguard/Cigna),,(77064) Hollywood Holdco I LLC,,,,,,212300,Payroll Liabilities,,,,
